datetime,symbol,open,high,low,close,volume
2024-12-01 23:00:00,CBOT:YM1!,45048.0,45065.0,45007.0,45026.0,503.0
2024-12-01 23:15:00,CBOT:YM1!,45028.0,45035.0,45006.0,45013.0,194.0
2024-12-01 23:30:00,CBOT:YM1!,45012.0,45015.0,45000.0,45006.0,226.0
2024-12-01 23:45:00,CBOT:YM1!,45004.0,45020.0,45004.0,45011.0,220.0
2024-12-02 00:00:00,CBOT:YM1!,45013.0,45037.0,45013.0,45016.0,233.0
2024-12-02 00:15:00,CBOT:YM1!,45015.0,45032.0,45002.0,45024.0,219.0
2024-12-02 00:30:00,CBOT:YM1!,45025.0,45026.0,44997.0,45000.0,267.0
2024-12-02 00:45:00,CBOT:YM1!,45000.0,45022.0,44995.0,45017.0,160.0
2024-12-02 01:00:00,CBOT:YM1!,45017.0,45021.0,45003.0,45017.0,140.0
2024-12-02 01:15:00,CBOT:YM1!,45015.0,45018.0,45008.0,45013.0,88.0
2024-12-02 01:30:00,CBOT:YM1!,45012.0,45020.0,45007.0,45008.0,125.0
2024-12-02 01:45:00,CBOT:YM1!,45008.0,45011.0,44985.0,44985.0,118.0
2024-12-02 02:00:00,CBOT:YM1!,44987.0,44987.0,44972.0,44972.0,121.0
2024-12-02 02:15:00,CBOT:YM1!,44970.0,44983.0,44969.0,44977.0,113.0
2024-12-02 02:30:00,CBOT:YM1!,44980.0,44982.0,44974.0,44982.0,124.0
2024-12-02 02:45:00,CBOT:YM1!,44983.0,44990.0,44982.0,44986.0,125.0
2024-12-02 03:00:00,CBOT:YM1!,44986.0,44992.0,44980.0,44981.0,83.0
2024-12-02 03:15:00,CBOT:YM1!,44981.0,44987.0,44977.0,44987.0,98.0
2024-12-02 03:30:00,CBOT:YM1!,44986.0,44991.0,44985.0,44988.0,77.0
2024-12-02 03:45:00,CBOT:YM1!,44988.0,44988.0,44964.0,44969.0,171.0
2024-12-02 04:00:00,CBOT:YM1!,44968.0,44982.0,44966.0,44967.0,124.0
2024-12-02 04:15:00,CBOT:YM1!,44968.0,44979.0,44964.0,44979.0,109.0
2024-12-02 04:30:00,CBOT:YM1!,44978.0,44992.0,44975.0,44988.0,102.0
2024-12-02 04:45:00,CBOT:YM1!,44989.0,44989.0,44972.0,44974.0,100.0
2024-12-02 05:00:00,CBOT:YM1!,44973.0,44990.0,44970.0,44983.0,133.0
2024-12-02 05:15:00,CBOT:YM1!,44984.0,44985.0,44975.0,44976.0,96.0
2024-12-02 05:30:00,CBOT:YM1!,44976.0,44977.0,44970.0,44977.0,87.0
2024-12-02 05:45:00,CBOT:YM1!,44975.0,44977.0,44967.0,44967.0,90.0
2024-12-02 06:00:00,CBOT:YM1!,44967.0,44967.0,44952.0,44958.0,159.0
2024-12-02 06:15:00,CBOT:YM1!,44956.0,44959.0,44943.0,44952.0,127.0
2024-12-02 06:30:00,CBOT:YM1!,44953.0,44958.0,44947.0,44955.0,144.0
2024-12-02 06:45:00,CBOT:YM1!,44956.0,44975.0,44956.0,44973.0,189.0
2024-12-02 07:00:00,CBOT:YM1!,44973.0,44979.0,44951.0,44954.0,378.0
2024-12-02 07:15:00,CBOT:YM1!,44952.0,44975.0,44950.0,44969.0,311.0
2024-12-02 07:30:00,CBOT:YM1!,44970.0,44971.0,44953.0,44958.0,250.0
2024-12-02 07:45:00,CBOT:YM1!,44958.0,44960.0,44941.0,44952.0,263.0
2024-12-02 08:00:00,CBOT:YM1!,44954.0,44987.0,44944.0,44980.0,673.0
2024-12-02 08:15:00,CBOT:YM1!,44980.0,44982.0,44961.0,44962.0,219.0
2024-12-02 08:30:00,CBOT:YM1!,44961.0,44981.0,44959.0,44978.0,167.0
2024-12-02 08:45:00,CBOT:YM1!,44977.0,44987.0,44972.0,44983.0,196.0
