datetime,symbol,open,high,low,close,volume
2024-12-01 23:00:00,CME_MINI:NQ1!,20995.25,21004.0,20960.25,20978.75,2903.0
2024-12-01 23:15:00,CME_MINI:NQ1!,20978.5,20987.75,20969.25,20971.0,898.0
2024-12-01 23:30:00,CME_MINI:NQ1!,20971.5,20972.25,20952.5,20960.5,1476.0
2024-12-01 23:45:00,CME_MINI:NQ1!,20960.75,20971.5,20958.25,20964.5,1152.0
2024-12-02 00:00:00,CME_MINI:NQ1!,20966.0,20983.0,20966.0,20971.5,1229.0
2024-12-02 00:15:00,CME_MINI:NQ1!,20971.0,20982.75,20962.25,20970.25,1079.0
2024-12-02 00:30:00,CME_MINI:NQ1!,20971.25,20972.75,20946.5,20947.75,1565.0
2024-12-02 00:45:00,CME_MINI:NQ1!,20948.75,20964.75,20941.75,20956.5,1291.0
2024-12-02 01:00:00,CME_MINI:NQ1!,20956.75,20971.0,20949.75,20966.75,1141.0
2024-12-02 01:15:00,CME_MINI:NQ1!,20965.75,20966.75,20953.25,20961.25,688.0
2024-12-02 01:30:00,CME_MINI:NQ1!,20962.0,20974.5,20962.0,20968.0,879.0
2024-12-02 01:45:00,CME_MINI:NQ1!,20969.0,20970.5,20954.5,20957.5,874.0
2024-12-02 02:00:00,CME_MINI:NQ1!,20957.0,20959.25,20948.0,20952.5,1189.0
2024-12-02 02:15:00,CME_MINI:NQ1!,20952.25,20961.75,20951.25,20957.25,682.0
2024-12-02 02:30:00,CME_MINI:NQ1!,20957.25,20959.0,20951.25,20954.75,494.0
2024-12-02 02:45:00,CME_MINI:NQ1!,20955.0,20959.75,20951.5,20953.75,399.0
2024-12-02 03:00:00,CME_MINI:NQ1!,20953.75,20958.0,20950.25,20954.25,433.0
2024-12-02 03:15:00,CME_MINI:NQ1!,20954.0,20963.5,20952.0,20962.0,616.0
2024-12-02 03:30:00,CME_MINI:NQ1!,20961.75,20964.75,20957.0,20961.0,709.0
2024-12-02 03:45:00,CME_MINI:NQ1!,20961.5,20961.75,20945.5,20950.0,864.0
2024-12-02 04:00:00,CME_MINI:NQ1!,20949.5,20959.75,20946.75,20949.25,723.0
2024-12-02 04:15:00,CME_MINI:NQ1!,20949.5,20955.75,20947.5,20954.0,549.0
2024-12-02 04:30:00,CME_MINI:NQ1!,20953.75,20966.0,20953.25,20963.5,732.0
2024-12-02 04:45:00,CME_MINI:NQ1!,20964.5,20966.5,20953.0,20957.0,726.0
2024-12-02 05:00:00,CME_MINI:NQ1!,20957.5,20963.0,20952.75,20960.25,538.0
2024-12-02 05:15:00,CME_MINI:NQ1!,20960.25,20960.5,20947.0,20954.0,907.0
2024-12-02 05:30:00,CME_MINI:NQ1!,20954.75,20963.25,20953.5,20961.5,407.0
